providercode,sitecode,hour,tph_median,measure,ct_sum,avg_first_resp_delay_minute,last_updated
AI,F9,0,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,1,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,2,15340.714285714286,TPH,153430.0,19.642857142857142,2025-06-24 14:12
AI,F9,3,6990.0,TPH,2786.0,16.333333333333332,2025-06-24 14:12
AI,F9,4,2760.0,TPH,466.0,9.0,2025-06-24 14:12
AI,F9,5,7740.0,TPH,40821.0,19.642857142857142,2025-06-24 14:12
AI,F9,6,2031.0,TPH,3156.0,20.9,2025-06-24 14:12
AI,F9,7,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,8,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,9,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,10,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,11,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,12,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,13,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,14,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,15,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,16,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,17,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,18,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,19,8580.0,TPH,1525.0,18.0,2025-06-24 14:12
AI,F9,20,10610.76923076923,TPH,20860.0,14.692307692307692,2025-06-24 14:12
AI,F9,21,10102.5,TPH,6750.0,13.875,2025-06-24 14:12
AI,F9,22,7312.5,TPH,4892.0,24.375,2025-06-24 14:12
AI,F9,23,9810.0,TPH,4350.0,40.0,2025-06-24 14:12
AI,G4,0,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,1,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,2,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,3,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,4,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,5,2434.285714285714,TPH,31245.0,9.071428571428571,2025-06-24 14:12
AI,G4,6,2254.285714285714,TPH,25422.0,9.071428571428571,2025-06-24 14:12
AI,G4,7,1432.5,TPH,1383.0,2.75,2025-06-24 14:12
AI,G4,8,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,9,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,10,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,11,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,12,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,13,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,14,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,15,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,16,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,17,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,18,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,19,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,20,225.0,TPH,149.0,1.5,2025-06-24 14:12
AI,G4,21,2130.0,TPH,1798.5,2.0,2025-06-24 14:12
AI,G4,22,1200.0,TPH,104.0,100.0,2025-06-24 14:12
AI,G4,23,1740.0,TPH,148.0,100.0,2025-06-24 14:12
AI,GGL,0,46936.153846153844,TPH,83001.0,16.846153846153847,2025-06-24 14:12
AI,GGL,1,18145.384615384617,TPH,34357.0,17.0,2025-06-24 14:12
AI,GGL,2,46135.71428571428,TPH,116137.0,16.928571428571427,2025-06-24 14:12
AI,GGL,3,6083.076923076923,TPH,30776.0,17.076923076923077,2025-06-24 14:12
AI,GGL,4,3622.5,TPH,2166.0,15.75,2025-06-24 14:12
AI,GGL,5,16855.714285714286,TPH,69135.0,16.928571428571427,2025-06-24 14:12
AI,GGL,6,2035.7142857142858,TPH,6883.0,16.928571428571427,2025-06-24 14:12
AI,GGL,7,44970.0,TPH,107183.0,16.928571428571427,2025-06-24 14:12
AI,GGL,8,15700.0,TPH,18004.0,16.77777777777778,2025-06-24 14:12
AI,GGL,9,4710.0,TPH,2467.0,16.5,2025-06-24 14:12
AI,GGL,10,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,11,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,12,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,13,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,14,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,15,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,16,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,17,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,18,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,19,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,20,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,21,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,22,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,GGL,23,17595.0,TPH,3435.5,18.0,2025-06-24 14:12
AI,LX,0,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,1,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,2,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,3,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,4,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,5,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,6,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,7,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,8,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,9,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,10,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,11,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,12,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,13,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,14,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,15,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,16,6600.0,TPH,550.0,15.0,2025-06-24 14:12
AI,LX,17,6600.0,TPH,550.0,15.0,2025-06-24 14:12
